-4.599449,-5.147487,-4.800206
-3.798639,-4.335912,-4.122787
-3.597759,-4.044002,-3.809530
-3.385872,-3.744736,-3.459246
-3.120193,-3.557032,-3.305051
-2.892862,-3.378692,-3.159674
-2.798685,-3.290996,-3.104137
-2.705671,-3.215409,-3.018416
-2.616114,-3.112392,-2.926281
-2.550231,-3.000190,-2.821955
-2.490010,-2.884081,-2.728852
-2.442454,-2.789522,-2.630496
-2.393643,-2.701636,-2.533882
-2.351406,-2.618249,-2.432678
-2.301870,-2.542269,-2.346089
-2.260006,-2.467347,-2.267633
-2.212167,-2.412049,-2.208456
-2.173428,-2.374283,-2.171119
-2.121145,-2.337614,-2.141029
-2.059298,-2.298120,-2.101078
-1.990256,-2.254238,-2.071252
-1.933485,-2.207172,-2.035100
-1.888135,-2.172494,-2.001878
-1.854883,-2.136754,-1.967081
-1.817792,-2.103923,-1.935630
-1.777367,-2.065684,-1.899734
-1.738075,-2.023343,-1.857126
-1.700400,-1.982654,-1.820530
-1.670501,-1.949165,-1.781284
-1.639845,-1.911233,-1.743426
-1.604490,-1.866979,-1.711370
-1.569202,-1.833426,-1.685225
-1.538450,-1.799518,-1.649936
-1.513484,-1.767603,-1.624038
-1.487679,-1.731795,-1.599405
-1.466826,-1.707017,-1.569689
-1.440632,-1.671244,-1.542772
-1.424978,-1.638974,-1.509914
-1.406811,-1.615955,-1.482074
-1.381301,-1.593671,-1.453704
-1.366007,-1.571324,-1.431743
-1.349832,-1.551534,-1.401988
-1.333894,-1.523772,-1.377105
-1.322584,-1.494468,-1.354460
-1.295880,-1.465931,-1.322770
-1.278449,-1.447786,-1.303597
-1.261148,-1.422213,-1.278037
-1.238900,-1.401835,-1.257439
-1.223570,-1.381122,-1.234367
-1.207195,-1.344994,-1.218502
-1.189229,-1.322158,-1.193146
-1.175557,-1.311345,-1.193691
-1.160891,-1.285202,-1.170130
-1.144808,-1.270730,-1.150957
-1.122753,-1.252411,-1.135724
-1.109193,-1.224018,-1.121148
-1.093124,-1.199120,-1.097163
-1.077745,-1.179615,-1.081797
-1.054411,-1.159050,-1.067956
-1.037858,-1.132622,-1.062320
-1.012166,-1.119913,-1.048077
-0.991071,-1.106421,-1.030397
-0.960004,-1.098932,-1.027349
-0.947575,-1.097461,-1.010868
-0.941246,-1.096656,-0.996657
-0.922437,-1.078310,-0.985032
-0.910029,-1.064645,-0.975259
-0.900125,-1.048723,-0.961104
-0.893955,-1.033604,-0.942357
-0.896320,-1.013857,-0.928995
-0.881425,-0.991215,-0.900819
-0.879185,-0.973385,-0.890415
-0.858225,-0.953150,-0.875472
-0.848633,-0.932774,-0.852947
-0.853409,-0.914877,-0.838027
-0.842714,-0.896828,-0.821532
-0.828117,-0.875784,-0.803234
-0.808610,-0.859075,-0.784951
-0.792673,-0.837982,-0.769084
-0.773668,-0.818108,-0.761418
-0.750771,-0.799511,-0.740662
-0.729610,-0.777264,-0.722666
-0.713255,-0.758070,-0.714940
-0.685810,-0.738341,-0.693673
-0.671023,-0.720481,-0.682447
-0.655073,-0.701042,-0.666510
-0.636822,-0.681265,-0.648956
-0.611019,-0.663952,-0.634675
-0.594957,-0.644099,-0.623226
-0.579591,-0.626283,-0.605591
-0.558958,-0.603760,-0.589014
-0.539412,-0.588928,-0.573502
-0.524764,-0.570230,-0.554353
-0.503152,-0.557018,-0.528405
-0.484735,-0.545960,-0.514349
-0.473783,-0.524122,-0.503144
-0.461901,-0.508110,-0.486530
-0.450024,-0.488895,-0.471633
-0.438513,-0.468819,-0.448358
-0.423609,-0.446486,-0.430214
-0.409325,-0.429806,-0.417688
-0.396006,-0.413035,-0.402237
-0.384046,-0.393112,-0.383548
-0.363576,-0.373824,-0.358466
-0.352742,-0.358434,-0.337409
-0.341040,-0.343604,-0.324100
-0.323475,-0.325419,-0.309706
-0.311949,-0.306778,-0.292351
-0.288905,-0.288032,-0.275844
-0.275971,-0.275098,-0.254311
-0.256302,-0.257516,-0.241358
-0.242766,-0.245792,-0.221217
-0.233995,-0.228983,-0.209119
-0.211399,-0.211425,-0.186808
-0.199951,-0.195858,-0.171839
-0.181408,-0.180032,-0.159012
-0.168085,-0.168086,-0.141495
-0.152570,-0.154932,-0.130996
-0.142680,-0.141371,-0.116874
-0.124102,-0.125346,-0.105222
-0.110131,-0.113587,-0.087336
-0.099316,-0.095116,-0.076151
-0.078211,-0.082605,-0.067617
